coda_row_id	arda_eid	matched_via
i-7f8aa9edec307c58c1399ca2e6dd1c84dcea478fce37c3f482092466bb8107e0	a5e027ca-d1f2-4380-b2ad-061a5cf2b920	numeric-base
i-55c331f85c1acabeb682cfebbcee17ca000262c031d7d066f2058b09469df136	6a040e03-d82a-4fd8-877a-bbe4a540fb3c	description
i-b9c863a1ec5e67161ce945ce3f43a68332b809192cb79ad388b3b5fcde953d87	7c13a6c6-e2c0-4182-8be1-9e9a70a22d2a	numeric-base
i-abf811457a86b1b2751e65921ea527f8a4536ed3359bdb2c6a90546b5967e2ce	951d7914-cf5a-44fe-8794-8595821d65ba	numeric-base
i-2074b164cb23b519adb3b24e412dba69620976b123f78aa02fc436ebb91c32f7	da37207a-3490-45d5-853a-6997569082b7	description
i-92985d6a716105758809666f1c0d49f1d5bee72c675da89ebba236d4d9c6759c	b4128f1b-b939-4ee1-99e5-ba8869c78394	numeric-base
i-51ea494e184427626a2f96ff81e799264738ad6e8fd7b2351303d0f98febbd10	5aff4a9d-d819-4f4e-8e64-7df83a8c56dd	description
i-98924b69c2d88dac065580974a42f6709ccf369c21c40e9356055b4a5ace43d7	5f733e41-5b40-4330-bffc-b5b5d618f9a0	description
i-e4888f63399afe58feebbf99613b314d06bac963be635065dcb2374db918c38f	cd2f7c3e-abb0-4c62-a0fa-921b15be8b37	description
i-56c7c9585501fd222cc4a3e46c7bc156f6e0af3c8724c2117115459a14a2c7ec	136fdbe2-f516-419d-bd4f-b13d75ad78e0	description
i-65649d71a9d617a38691cbda99b87b29fc299a4f147b644915ac5463e63da103	b581dbe7-1b01-42b1-ab66-a9c4e55dc649	description
i-0e77a9ca8c786c78f172604829a5fcf9a93d98b7956f827636c0e64fa016a49b	ea24a8a1-935d-4c6d-acda-015c58af82d5	description
i-7c3d9cba6ae78995dea17e0b797a1a641adf400dc73cd5a80142e7123ef689c5	0e6ee2c7-8279-42d1-8c84-977769412491	description
i-8e231ab1a4f3ffcba7bac2e6aa73021193eb5e85642e0c227980871682d7ccd8	e30edcd1-f2ae-4b0e-aa55-0737288422ee	description
i-64ae3f9c396df42e5633414b869a18775bbf4d3ca630e02ce460f0811311b2b5	9808f939-6fdc-47d8-a096-8df607f1ce12	description
i-9cfd8fae9a5399fa5f868cc60e603ae619b2ab3529f8330d6afc8e4a2c649550	f52422d2-1ce3-44e6-89c9-34281a74ad86	description
i-efb3122d6b9b3e2839c40409a2ad049a782b99bf40374f6f2fa47847802bc115	18da7784-7419-4a7f-a6db-4fcca71a2602	description
i-36c532991fbe38db8f25e58738ba3cac3afb73d3e10e519d2ef557092d1f7b94	f78105e3-70b1-4739-b408-2526eab8c1ba	description
i-9c4f5121a8fb4a5d5386edf250de4dc9e8d29af563950ca196925d0cd95a2f2f	a8a5e48f-ba13-497a-9054-0e0c007fa0f9	description
i-e1bb6bd85de5e8d0b4c5ac59271b1d304e06327381e187339f52bf765272b70c	93347b9e-b651-43d6-b048-70b248db998e	numeric-base
